Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Gangplank,73,100%,69,4,4,4,0,100%,3.5,1.25,6.25,7.8,225.25,7.77,12.6,434,-,-,66.10%,23.70%,23.40%
Mordekaiser,72,98.60%,68,4,4,4,0,100%,6.5,1,11.25,17.75,246.25,7.37,14,420,-,-,84.50%,31%,22.60%
Elise,71,97.30%,32,39,14,26,13,66.70%,2.46,2.36,6.41,3.76,107.56,3,10.8,301,-,-,62.10%,17.20%,17.90%
Lulu,69,94.50%,43,26,16,13,13,50%,1.96,1.96,7.15,4.65,270.85,7.5,12.4,344,-,-,74.30%,16%,21.50%
Rek'Sai,56,76.70%,19,37,10,15,22,40.50%,1.35,2.54,7.54,3.5,122.62,3.35,11,300,-,-,72.60%,11%,18.40%
Kalista,54,74%,25,29,13,14,15,48.30%,4.34,2.24,4.9,4.12,295.76,8.39,13.5,383,-,-,74.70%,35.10%,23.70%
Darius,53,72.60%,15,38,16,19,19,50%,3.61,3.34,3.76,2.2,235.82,6.83,11.8,341,-,-,56.90%,27.80%,20.80%
Azir,42,57.50%,28,14,8,10,4,71.40%,3.5,2.64,6.43,3.76,316.43,8.92,14,394,-,-,71.60%,25.30%,22.90%
Thresh,35,47.90%,6,29,14,13,16,44.80%,0.76,3.03,8.24,2.97,33.48,0.95,7.7,219,-,-,70%,5.90%,13.40%
Tahm Kench,34,46.60%,20,14,7,10,4,71.40%,0.79,2.43,9.79,4.35,40.07,1.09,8.6,232,-,-,63.80%,4.70%,13.70%
Alistar,33,45.20%,3,30,11,15,15,50%,0.3,2.73,9.67,3.65,40.43,1.12,8.2,227,-,-,80.20%,2.40%,13.90%
Jinx,33,45.20%,4,29,13,15,14,51.70%,5.07,2.34,5.21,4.38,332.79,8.83,15.3,407,-,-,73%,36%,24.80%
Gragas,33,45.20%,4,29,12,13,16,44.80%,1.28,3.03,6.97,2.72,109.76,3.02,10.1,278,-,-,64.90%,10.10%,17.10%
Lee Sin,28,38.40%,10,18,7,9,9,50%,2.5,2.78,8,3.78,91.67,2.77,9.7,292,-,-,75.30%,17.90%,17.80%
Twisted Fate,28,38.40%,16,12,8,7,5,58.30%,3.83,2.58,6.92,4.16,275,8.37,13.8,420,-,-,75.90%,27.10%,24.90%
Tristana,27,37%,-,27,11,11,16,40.70%,3.3,2.15,4.19,3.48,297.7,8.48,13.5,384,-,-,71.10%,31.30%,24.30%
Braum,24,32.90%,3,21,14,8,13,38.10%,0.48,2.9,8.1,2.95,40.14,1.18,7.6,223,-,-,78.60%,4.40%,13.90%
Fiora,23,31.50%,4,19,6,11,8,57.90%,3.63,2.95,4.05,2.61,294.37,8.15,13.7,380,-,-,61.30%,29%,22.90%
Gnar,21,28.80%,2,19,12,8,11,42.10%,2.63,3.26,6.63,2.84,237.58,6.58,12,333,-,-,65.70%,18.70%,20.40%
Kennen,21,28.80%,5,16,10,8,8,50%,2.75,3.69,6.69,2.56,197.81,5.11,12.3,318,-,-,57.20%,16.70%,18.70%
Morgana,20,27.40%,2,18,8,8,10,44.40%,0.33,2.72,8.61,3.29,36.33,0.99,8.8,239,-,-,72.50%,2.70%,14.70%
Sivir,19,26%,-,19,8,9,10,47.40%,3.37,2.37,6.47,4.16,324.63,9.05,14.6,408,-,-,77.90%,26.70%,24.50%
Viktor,18,24.70%,1,17,8,8,9,47.10%,3.76,1.82,4.12,4.32,330.71,9.33,13.9,392,-,-,62%,29.60%,23.90%
Veigar,18,24.70%,10,8,5,3,5,37.50%,3.88,3,5.38,3.08,297.5,8.17,13.4,367,-,-,78.70%,33%,23.10%
LeBlanc,17,23.30%,6,11,6,6,5,54.50%,5.09,1.45,4.91,6.88,314.91,8.16,14.5,375,-,-,65.50%,33.30%,22.50%
Shen,15,20.50%,3,12,5,10,2,83.30%,0.92,2.75,11.08,4.36,69.92,1.87,9.6,258,-,-,69.60%,5.30%,14.50%
Malphite,14,19.20%,4,10,7,3,7,30%,1.8,1.8,5.2,3.89,247.5,6.29,12.1,307,-,-,57.90%,14.90%,19.60%
