Ornn,102,89.50%,62,40,17,24,16,60%,1.7,2,7.2,4.45,236.03,7.36,11.3,354,12.7k,397,64%,12.20%,19.80%,
Nidalee,102,89.50%,71,31,14,18,13,58.10%,3.23,2.19,6.19,4.29,215.97,6.74,11.7,365,12.7k,396,70.20%,24%,20.30%,
Graves,99,86.80%,30,69,21,35,34,50.70%,3.61,2.38,5.26,3.73,218.49,6.87,11.8,370,12.1k,382,68.20%,27.80%,20.80%,
Lucian,94,82.50%,78,16,13,9,7,56.30%,4,2.88,4.25,2.87,287.88,8.89,13.8,427,16.3k,505,62.90%,30.50%,23.80%,
Syndra,84,73.70%,47,37,15,19,18,51.40%,3.24,2.49,5.08,3.35,289.32,8.83,13,396,17.8k,544,60.30%,23.50%,22.50%,
Camille,80,70.20%,53,27,15,15,12,55.60%,3.85,3.15,4.89,2.78,260.48,7.97,13.3,408,15k,458,55.30%,24.40%,22.40%,
Renekton,79,69.30%,46,33,14,13,20,39.40%,2.33,3.48,4.18,1.87,259.48,8.03,12.3,380,11.7k,363,54.20%,19.40%,21.80%,
Twisted Fate,78,68.40%,55,23,10,13,10,56.50%,3.22,2.26,7.61,4.79,262.7,8.43,13.5,434,14.9k,478,73.50%,21.80%,23.30%,
Orianna,73,64%,34,39,18,25,14,64.10%,3.69,1.9,6.03,5.12,303.87,9.03,14,417,16.5k,491,69.40%,26.40%,23.20%,
Lillia,71,62.30%,30,41,14,17,24,41.50%,2.8,3.17,6.66,2.98,208.32,6.5,11.3,352,13.9k,433,70.50%,20.90%,20%,
Ashe,70,61.40%,28,42,19,17,25,40.50%,2.86,2.64,5.67,3.23,296.14,9.09,13.4,412,16.4k,504,66.80%,22.40%,23.50%,
Leona,67,58.80%,25,42,14,26,16,61.90%,0.83,3.12,7.24,2.59,37.48,1.16,7.4,231,4.1k,127,57.10%,5.90%,12.70%,
Sett,66,57.90%,34,32,23,15,17,46.90%,2.09,3.13,6.28,2.68,160.59,4.94,10.2,315,9.8k,303,58%,14.50%,17.60%,
Senna,64,56.10%,18,46,20,21,25,45.70%,1.8,2.11,7.83,4.57,222.04,7.04,11.4,361,13.6k,432,75.60%,14.20%,20.60%,
Ezreal,58,50.90%,24,34,14,20,14,58.80%,3.94,2.5,5.03,3.59,296.09,8.82,14,417,23.4k,696,65.60%,28.80%,23.40%,
Jhin,56,49.10%,13,43,17,28,15,65.10%,4,1.47,5.86,6.73,283.05,8.97,13.5,427,15.3k,485,67.80%,27.50%,23.40%,
Caitlyn,54,47.40%,39,15,8,8,7,53.30%,3.8,1.6,4.4,5.13,301.67,9.71,14,451,16.9k,544,65.10%,30.20%,25%,
Shen,53,46.50%,39,14,8,9,5,64.30%,3,2.79,7.5,3.77,227.86,6.81,11.7,351,11k,328,67.10%,19.20%,19.50%,
Volibear,47,41.20%,19,28,15,14,14,50%,2.43,2.96,5.36,2.63,219.75,6.72,11.4,350,12k,367,62.10%,19.40%,20%,
Bard,44,38.60%,24,20,12,11,9,55%,0.8,2.3,10.7,5,45.25,1.35,7.9,237,6.2k,187,78.50%,5.50%,13.20%,
Pantheon,44,38.60%,26,18,11,11,7,61.10%,2.61,3.61,5.72,2.31,56.94,1.78,8.4,262,8.9k,279,55.80%,17.50%,14.20%,
Rakan,42,36.80%,15,27,16,15,12,55.60%,0.44,2,8.26,4.35,39.15,1.26,7.1,228,3.9k,127,71.20%,3.60%,13%,
Nautilus,40,35.10%,16,24,13,6,18,25%,0.71,4.33,5.5,1.43,36.71,1.17,6.8,216,4.2k,133,58.40%,6.70%,13.10%,
